title,province,district,total_cost,funding_type,status,primary_sector,source_file
"Rehabilitation of Sardar Kul, Upper and Lower Kul",Gilgit-Baltistan,Gilgit,5000000,ADP,approved,Water,GB_Pipeline
Construction/Rehabilitation of Irrigation Channel at Paen Basin Gilgit,Gilgit-Baltistan,Gilgit,2000000,ADP,approved,Water,GB_Pipeline
"Construction of Protective Bund, Water Tanks & Water Channels in Halqa-I Gilgit",Gilgit-Baltistan,Gilgit,8000000,ADP,approved,Water,GB_Pipeline
Construction of Water Channel from Thor Sari Shitan to Miyak Village,Gilgit-Baltistan,Diamer,2000000,ADP,approved,Water,GB_Pipeline
Construction of Water Irrigation Channels at Roundu Valley,Gilgit-Baltistan,Roundu Valley (Skardu),2000000,ADP,approved,Water,GB_Pipeline
Rehabilitation of Irrigation Channel at Gahkuch Bala,Gilgit-Baltistan,Gahkuch Bala (Ghizer),2641000,ADP,approved,Water,GB_Pipeline
"Construction / Repair of Water Channels at Chagoo, Bilihari, Janoto Land, Rawoshan Nallah, Saleem Land Hakis and Talidas at Gupis Tehsil",Gilgit-Baltistan,Gupis (Ghizer),2000000,ADP,approved,Water,GB_Pipeline
Construction of Water Channel at Gindai and Water Tank at Gindai Spring,Gilgit-Baltistan,Gindai (Ghizer),4500000,ADP,approved,Water,GB_Pipeline
Construction / Rehabilitation of 1100 meter Rahim Yari Water Channel,Gilgit-Baltistan,Hunza,1473000,ADP,approved,Water,GB_Pipeline
Re-Construction of Damaged Water Channel Murtazabad Hunza,Gilgit-Baltistan,Hunza,2652000,ADP,approved,Water,GB_Pipeline
"Support in procurement of leguminous seeds, installation of drip irrigation and sprinklers and promotion of green manuring and bokashi fertilizers and composting.",Gilgit-Baltistan,GB,15000000,ADP,approved,Water,GB_Pipeline
Community-based pest survillance and use of biocontrol and low chemical Integrated Pest Management Methods.,Gilgit-Baltistan,GB,3000000,ADP,approved,Other,GB_Pipeline
"Water Irrigation Scheme Machulu through Khaney to Balagond Side, Ghanche",Gilgit-Baltistan,Ghanche,2124000,ADP,approved,Water,GB_Pipeline
"Widening / Improvement of Main Water Courses of Daghoni Village, Ghanche",Gilgit-Baltistan,Ghanche,2000000,ADP,approved,Water,GB_Pipeline
Rehabilitation / Construction of Irrigation Channel Mirmalik District Astore,Gilgit-Baltistan,Astore,1000000,ADP,approved,Water,GB_Pipeline
Irrigation Pipes for Chogam Astore,Gilgit-Baltistan,Astore,2000000,ADP,approved,Water,GB_Pipeline
